# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 staged-clock path
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
169	phy	apcie-phy-ip-auspma-tunables	0x0041704a1cc	4	RMW	0x00000001	0x00000001
170	phy	apcie-phy-ip-auspma-tunables	0x0041704a1e8	4	RMW	0x0000000f	0x00000000
171	phy	apcie-phy-ip-auspma-tunables	0x0041704a1b0	4	RMW	0xffffffff	0x00098924
172	phy	apcie-phy-ip-auspma-tunables	0x0041704a1b8	4	RMW	0xffffffff	0x00098924
173	phy	apcie-phy-ip-auspma-tunables	0x00417052000	4	RMW	0x0000000f	0x0000000a
174	phy	apcie-phy-ip-auspma-tunables	0x00417052008	4	RMW	0x0000000f	0x0000000a
175	phy	apcie-phy-ip-auspma-tunables	0x0041705200c	4	RMW	0x0000000f	0x0000000a
176	phy	apcie-phy-ip-auspma-tunables	0x00417052010	4	RMW	0x0000000f	0x0000000a
177	phy	apcie-phy-ip-auspma-tunables	0x00417052014	4	RMW	0x0000000f	0x0000000a
178	phy	apcie-phy-ip-auspma-tunables	0x00417052038	4	RMW	0x0000ffff	0x00000271
179	phy	apcie-phy-ip-auspma-tunables	0x00417052040	4	RMW	0x00000800	0x00000000
180	phy	apcie-phy-ip-auspma-tunables	0x0041705204c	4	RMW	0x00003fff	0x00000bff
181	phy	apcie-phy-ip-auspma-tunables	0x00417052050	4	RMW	0x00000001	0x00000001
182	phy	apcie-phy-ip-auspma-tunables	0x00417052068	4	RMW	0x00000007	0x00000001
183	phy	apcie-phy-ip-auspma-tunables	0x00417052070	4	RMW	0xfff038e0	0x55b00820
184	phy	apcie-phy-ip-auspma-tunables	0x00417052084	4	RMW	0xffffffff	0x3e8f4240
